sSTUDENT_ID,CLASS_ID,GRADE,COMPLETED,CREATED_DATE,MODIFIED_DATE,CREDITS,SEMESTER,MAJOR_REQ_ID
9004857888,SPE1010,A,1,,,3,Spring 2014,GS-OC
9004857888,MTH1310,A,1,,,3,Spring 2014,GS-MTH
9004857888,ENG1010,A,1,,,3,Spring 2014,GS-WC
9004857888,CIS2010,,,,,3,Fall 2013,BC
9001234567,SPE1010,A,1,,,3,Fall 2014,GS-OC
9001234567,MTH1310,A,1,,,3,Fall 2014,GS-MTH
9001234567,ENG1010,A,1,,,3,Fall 2014,GS-WC
9001234567,CIS2010,A,1,,,3,Fall 2014,BC
1234567890,SPE1010,A,1,,,3,Spring 2014,GS-OC
1234567890,MTH1310,A,1,,,3,Spring 2014,GS-MTH
1234567890,ENG1020,A,1,,,3,Spring 2014,GS-WC
1234567890,ENG1010,A,1,,,3,Fall 2014,GS-WC
1234567890,CIS2010,A,1,,,3,Fall 2014,BC
1234567890,MGT2210,A,1,,,3,Fall 2014,BC
1234567890,MKT2040,A,1,,,3,Fall 2014,BC
1234567890,ACC2010,A,1,,,3,Spring 2014,BC
1234567890,PHI1030,A,,,,3,Spring 2015,GS-A&H
1234567890,ECO2010,A,,,,3,Spring 2015,BC
1234567890,PSY1001,A,,,,3,Spring 2015,GS-A&H
